Magnitude,Redshift,MagnitudeLetter
14.45806,14.08853,i
14.08322,14.08853,z
21.65819,18.7655,u
20.62416,18.7655,g
20.3992,18.7655,r
20.18434,18.7655,i
19.8249,18.7655,z
26.10856,19.50216,u
24.20914,19.50216,g
22.14383,19.50216,r
20.46527,19.50216,i
19.4918,19.50216,z
22.95775,18.96437,u
21.54239,18.96437,g
20.39849,18.96437,r
19.93445,18.96437,i
19.52809,18.96437,z
24.63471,22.82689,u
24.8656,22.82689,g
22.71309,22.82689,r
22.89972,22.82689,i
22.82719,22.82689,z
25.05871,21.74099,u
23.28381,21.74099,g
22.82839,21.74099,r
22.21061,21.74099,i
22.2367,21.74099,z
24.15708,19.05224,u
22.65565,19.05224,g
21.09631,19.05224,r
19.77804,19.05224,i
19.0302,19.05224,z
22.38699,24.37163,u
24.215,24.37163,g
26.1567,24.37163,r
23.43289,24.37163,i
24.09227,24.37163,z
22.61502,16.70798,u
20.0222,16.70798,g
18.53809,16.70798,r
17.37034,16.70798,i
16.69467,16.70798,z
24.91301,19.27884,u
22.17296,19.27884,g
20.66518,19.27884,r
19.95745,19.27884,i
19.597,19.27884,z
23.82875,18.20065,u
20.66882,18.20065,g
19.24619,18.20065,r
18.61981,18.20065,i
18.17537,18.20065,z
22.31128,19.75583,u
20.81979,19.75583,g
20.2134,19.75583,r
19.93353,19.75583,i
19.73027,19.75583,z
23.82819,21.40359,u
23.18477,21.40359,g
22.61516,21.40359,r
22.31642,21.40359,i
21.66629,21.40359,z
24.34793,23.44688,u
24.00916,23.44688,g
22.8844,23.44688,r
22.63149,23.44688,i
23.34544,23.44688,z
24.1755,21.37731,u
23.87266,21.37731,g
23.29573,21.37731,r
22.397,21.37731,i
22.14347,21.37731,z
23.70457,22.07104,u
24.34775,22.07104,g
23.84052,22.07104,r
21.91628,22.07104,i
22.06762,22.07104,z
23.77665,21.42505,u
24.72861,21.42505,g
22.97232,21.42505,r
22.01207,21.42505,i
21.47203,21.42505,z
19.20992,16.92079,u
17.8367,16.92079,g
17.25693,16.92079,r
17.03262,16.92079,i
16.9198,16.92079,z
25.48993,23.54665,u
24.45387,23.54665,g
24.68363,23.54665,r
22.16684,23.54665,i
22.75542,23.54665,z
24.14776,20.94623,u
22.96617,20.94623,g
21.70411,20.94623,r
21.21591,20.94623,i
20.93957,20.94623,z
25.00319,19.90382,u
24.59819,19.90382,g
22.61198,19.90382,r
21.02997,19.90382,i
19.9079,19.90382,z
24.8091,20.54268,u
22.81877,20.54268,g
21.87837,20.54268,r
21.55028,20.54268,i
21.55994,20.54268,z
24.63465,22.82685,u
25.11462,22.82685,g
18.72632,22.82685,r
15.04335,22.82685,i
22.82697,22.82685,z
24.57437,20.8239,u
25.2674,20.8239,g
24.83589,20.8239,r
24.72571,20.8239,i
21.24642,20.8239,z
23.48401,22.91982,u
25.01024,22.91982,g
22.90906,22.91982,r
22.68215,22.91982,i
22.9681,22.91982,z
24.26412,21.43643,u
24.6172,21.43643,g
23.29733,21.43643,r
22.0827,21.43643,i
21.43056,21.43643,z
25.89916,21.28498,u
24.39206,21.28498,g
22.75541,21.28498,r
21.78859,21.28498,i
21.40001,21.28498,z
24.08594,22.20309,u
23.95254,22.20309,g
24.07317,22.20309,r
22.39397,22.20309,i
22.41327,22.20309,z
20.13694,16.29606,u
17.80441,16.29606,g
16.84593,16.29606,r
16.49688,16.29606,i
16.29724,16.29606,z
23.52397,18.83146,u
21.32446,18.83146,g
19.81024,18.83146,r
19.1825,18.83146,i
18.82993,18.83146,z
23.87965,21.71386,u
22.87385,21.71386,g
22.51957,21.71386,r
21.79708,21.71386,i
22.16579,21.71386,z
23.0476,17.89772,u
20.64781,17.89772,g
19.15365,17.89772,r
18.35564,17.89772,i
17.88598,17.89772,z
23.77541,19.84683,u
23.86147,19.84683,g
21.65188,19.84683,r
21.09667,19.84683,i
20.61816,19.84683,z
25.31636,21.54939,u
22.9276,21.54939,g
22.06166,21.54939,r
21.98432,21.54939,i
22.13239,21.54939,z
24.02082,21.60364,u
24.9887,21.60364,g
23.06223,21.60364,r
22.5238,21.60364,i
21.91733,21.60364,z
24.63926,20.54789,u
24.18155,20.54789,g
23.87364,20.54789,r
22.08916,20.54789,i
21.41284,20.54789,z
24.47008,21.09464,u
23.60869,21.09464,g
22.16451,21.09464,r
21.80614,21.09464,i
21.26868,21.09464,z
24.83055,20.14849,u
23.80228,20.14849,g
22.49858,20.14849,r
21.7389,20.14849,i
20.83494,20.14849,z
25.49933,20.65684,u
25.30877,20.65684,g
25.65028,20.65684,r
24.7847,20.65684,i
20.85684,20.65684,z
24.83245,20.8581,u
24.2041,20.8581,g
23.38009,20.8581,r
22.1217,20.8581,i
21.67283,20.8581,z
22.67518,17.45329,u
20.3125,17.45329,g
18.82124,17.45329,r
17.89092,17.45329,i
17.40948,17.45329,z
19.61304,17.62479,u
18.35468,17.62479,g
17.85037,17.62479,r
17.63236,17.62479,i
17.62996,17.62479,z
23.02959,21.49548,u
25.00214,21.49548,g
23.94936,21.49548,r
22.47258,21.49548,i
21.7093,21.49548,z
24.12517,20.23598,u
24.06529,20.23598,g
21.73681,20.23598,r
20.98341,20.23598,i
20.25027,20.23598,z
24.78546,19.19517,u
22.27811,19.19517,g
20.60822,19.19517,r
19.76252,19.19517,i
19.19494,19.19517,z
22.62226,18.35095,u
21.37473,18.35095,g
19.93506,18.35095,r
19.36463,18.35095,i
18.94543,18.35095,z
22.75186,17.62825,u
20.21005,17.62825,g
19.28095,17.62825,r
18.80696,17.62825,i
18.50059,17.62825,z
23.37472,21.5639,u
22.09587,21.5639,g
21.67515,21.5639,r
21.66538,21.5639,i
21.57538,21.5639,z
19.6116,16.76837,u
17.91548,16.76837,g
17.19146,16.76837,r
16.91448,16.76837,i
16.76233,16.76837,z
24.4471,19.88166,u
23.4313,19.88166,g
21.67872,19.88166,r
20.94548,19.88166,i
20.43074,19.88166,z
25.69886,20.41798,u
22.84394,20.41798,g
21.27861,20.41798,r
20.6508,20.41798,i
20.4271,20.41798,z
24.41305,21.42754,u
23.56416,21.42754,g
22.6692,21.42754,r
22.21524,21.42754,i
22.09481,21.42754,z
22.48969,21.60095,u
22.88013,21.60095,g
21.98839,21.60095,r
21.55736,21.60095,i
21.73601,21.60095,z
24.48381,19.28603,u
22.67623,19.28603,g
21.19053,19.28603,r
19.98511,19.28603,i
19.31653,19.28603,z
23.6082,22.9328,u
23.57523,22.9328,g
23.07928,22.9328,r
22.93662,22.9328,i
22.96169,22.9328,z
24.6012,21.77921,u
24.54034,21.77921,g
23.28859,21.77921,r
22.07994,21.77921,i
22.20587,21.77921,z
24.52218,21.08882,u
23.93242,21.08882,g
22.65511,21.08882,r
21.60059,21.08882,i
21.43041,21.08882,z
24.10277,21.19952,u
25.07236,21.19952,g
25.01286,21.19952,r
21.91906,21.19952,i
21.15586,21.19952,z
25.01651,21.1715,u
24.63859,21.1715,g
23.42582,21.1715,r
21.75561,21.1715,i
21.12993,21.1715,z
21.8381,22.94856,u
24.32073,22.94856,g
24.75023,22.94856,r
25.08615,22.94856,i
22.8772,22.94856,z
23.41135,17.07795,u
20.98337,17.07795,g
19.56633,17.07795,r
18.12464,17.07795,i
17.12571,17.07795,z
22.73856,21.19561,u
22.98943,21.19561,g
22.15434,21.19561,r
21.70216,21.19561,i
21.48374,21.19561,z
23.91621,20.6617,u
23.0295,20.6617,g
22.4845,20.6617,r
22.2356,20.6617,i
22.3378,20.6617,z
24.77996,22.47881,u
25.42256,22.47881,g
24.8041,22.47881,r
24.14191,22.47881,i
22.68965,22.47881,z
22.71616,22.188,u
24.11437,22.188,g
22.70396,22.188,r
22.67295,22.188,i
22.04601,22.188,z
23.43959,21.01439,u
23.36845,21.01439,g
22.50165,21.01439,r
21.74545,21.01439,i
21.02681,21.01439,z
23.41335,21.83526,u
23.97715,21.83526,g
22.85855,21.83526,r
22.12628,21.83526,i
22.08159,21.83526,z
24.20342,20.1617,u
24.38262,20.1617,g
22.5012,20.1617,r
20.86611,20.1617,i
20.14421,20.1617,z
23.60297,20.37784,u
23.17058,20.37784,g
22.0883,20.37784,r
21.72107,20.37784,i
21.01398,20.37784,z
23.41443,17.82675,u
20.52576,17.82675,g
18.9982,17.82675,r
18.26292,17.82675,i
17.83408,17.82675,z
24.35821,21.60752,u
24.62541,21.60752,g
22.35164,21.60752,r
21.97805,21.60752,i
21.62681,21.60752,z
24.92917,18.76355,u
22.27164,18.76355,g
20.84141,18.76355,r
19.49293,18.76355,i
18.78087,18.76355,z
25.3114,22.05213,u
24.76972,22.05213,g
23.40198,22.05213,r
22.58682,22.05213,i
22.00004,22.05213,z
25.06056,22.30693,u
24.39087,22.30693,g
22.76868,22.30693,r
22.17932,22.30693,i
22.26147,22.30693,z
24.41724,20.62272,u
22.65522,20.62272,g
21.55006,20.62272,r
21.01826,20.62272,i
20.62254,20.62272,z
25.53955,20.26856,u
24.90813,20.26856,g
25.01471,20.26856,r
24.7193,20.26856,i
20.77592,20.26856,z
18.71608,15.50506,u
16.97448,15.50506,g
16.09844,15.50506,r
15.76242,15.50506,i
15.50342,15.50506,z
23.06507,20.14598,u
22.82787,20.14598,g
22.02383,20.14598,r
21.7705,20.14598,i
21.18046,20.14598,z
25.51608,20.93602,u
24.466,20.93602,g
23.5956,20.93602,r
21.56383,20.93602,i
21.00905,20.93602,z
24.47156,21.98169,u
22.59243,21.98169,g
22.37668,21.98169,r
22.0191,21.98169,i
22.25307,21.98169,z
24.23053,20.64757,u
23.41025,20.64757,g
22.37123,20.64757,r
21.72414,20.64757,i
20.77945,20.64757,z
22.82336,22.21412,u
24.12286,22.21412,g
22.34204,22.21412,r
22.39424,22.21412,i
22.12902,22.21412,z
23.97535,19.31295,u
22.69792,19.31295,g
21.21565,19.31295,r
20.04237,19.31295,i
19.28798,19.31295,z
20.87663,19.00933,u
19.24346,19.00933,g
18.82649,19.00933,r
18.61213,19.00933,i
19.03254,19.00933,z
22.52018,18.463,u
21.66958,18.463,g
20.78886,18.463,r
20.42105,18.463,i
20.05803,18.463,z
24.1663,19.76618,u
23.78127,19.76618,g
21.88526,19.76618,r
20.43103,19.76618,i
19.75222,19.76618,z
25.09821,22.6624,u
23.81398,22.6624,g
24.27113,22.6624,r
21.92196,22.6624,i
22.68282,22.6624,z
22.59798,19.9407,u
22.64181,19.9407,g
21.59712,19.9407,r
21.03524,19.9407,i
20.5297,19.9407,z
16.23487,14.05325,u
14.82276,14.05325,g
14.31257,14.05325,r
14.12481,14.05325,i
14.06046,14.05325,z
21.2547,18.11853,u
19.44574,18.11853,g
18.59049,18.11853,r
18.26796,18.11853,i
18.11473,18.11853,z
25.18864,21.01156,u
23.14025,21.01156,g
21.86732,21.01156,r
21.26723,21.01156,i
21.04119,21.01156,z
19.10633,16.44579,u
17.60297,16.44579,g
16.88894,16.44579,r
16.56598,16.44579,i
16.45109,16.44579,z
23.1746,20.72531,u
22.44826,20.72531,g
21.92199,20.72531,r
22.26643,20.72531,i
20.86049,20.72531,z
23.50857,18.63284,u
21.62343,18.63284,g
20.13441,18.63284,r
19.15866,18.63284,i
18.64421,18.63284,z
25.96823,20.85648,u
23.71232,20.85648,g
22.70688,20.85648,r
21.60456,20.85648,i
20.85668,20.85648,z
23.6466,21.49249,u
22.70142,21.49249,g
22.05734,21.49249,r
21.64264,21.49249,i
21.60975,21.49249,z
22.24066,20.80247,u
21.30895,20.80247,g
20.80465,20.80247,r
20.74622,20.80247,i
20.81473,20.80247,z
24.22975,20.30056,u
24.31105,20.30056,g
22.33174,20.30056,r
21.1556,20.30056,i
20.42249,20.30056,z
24.52841,22.94547,u
25.11448,22.94547,g
22.98624,22.94547,r
23.32634,22.94547,i
22.92465,22.94547,z
24.87961,19.24723,u
23.4837,19.24723,g
21.80901,19.24723,r
20.07129,19.24723,i
19.22019,19.24723,z
23.63966,20.27637,u
23.20498,20.27637,g
21.56921,20.27637,r
20.95059,20.27637,i
20.54086,20.27637,z
24.33068,20.25873,u
24.05345,20.25873,g
22.32556,20.25873,r
21.23755,20.25873,i
20.73567,20.25873,z
23.40508,21.32903,u
23.62621,21.32903,g
23.05422,21.32903,r
22.82763,21.32903,i
21.63259,21.32903,z
25.99786,23.3409,u
24.52454,23.3409,g
23.83945,23.3409,r
21.86603,23.3409,i
23.26267,23.3409,z
17.45019,15.25141,u
16.0982,15.25141,g
15.56387,15.25141,r
15.35072,15.25141,i
15.25018,15.25141,z
24.55178,19.65688,u
22.65201,19.65688,g
21.14466,19.65688,r
20.33039,19.65688,i
19.68172,19.65688,z
23.99846,20.71347,u
23.91457,20.71347,g
22.34124,20.71347,r
21.62199,20.71347,i
20.73054,20.71347,z
20.81517,17.50741,u
18.84601,17.50741,g
17.99542,17.50741,r
17.63794,17.50741,i
17.49059,17.50741,z
23.23783,20.58649,u
22.53405,20.58649,g
21.6467,20.58649,r
21.39074,20.58649,i
21.32868,20.58649,z
24.46909,20.57575,u
23.56837,20.57575,g
24.80182,20.57575,r
24.36178,20.57575,i
20.74286,20.57575,z
22.46826,20.3969,u
21.46135,20.3969,g
20.87026,20.3969,r
20.54961,20.3969,i
20.43299,20.3969,z
25.6373,22.10184,u
23.5668,22.10184,g
22.25678,22.10184,r
21.71951,22.10184,i
22.10219,22.10184,z
22.78466,21.31369,u
22.18345,21.31369,g
21.96665,21.31369,r
21.87858,21.31369,i
21.65273,21.31369,z
25.06031,21.45633,u
24.15616,21.45633,g
22.80651,21.45633,r
21.60736,21.45633,i
21.55775,21.45633,z
22.00377,19.31523,u
20.54915,19.31523,g
19.8614,19.31523,r
19.54366,19.31523,i
19.31784,19.31523,z
21.79189,20.12364,u
20.7581,20.12364,g
20.28914,20.12364,r
20.14672,20.12364,i
20.12161,20.12364,z
23.79475,20.20197,u
23.02899,20.20197,g
22.26888,20.20197,r
21.72269,20.20197,i
21.28089,20.20197,z
24.19014,20.67614,u
22.05721,20.67614,g
21.40286,20.67614,r
21.13813,20.67614,i
20.8173,20.67614,z
20.63364,17.53048,u
18.81284,17.53048,g
17.99709,17.53048,r
17.73704,17.53048,i
17.51882,17.53048,z
25.40415,21.13696,u
23.57895,21.13696,g
23.5198,21.13696,r
21.74774,21.13696,i
21.10424,21.13696,z
23.58301,22.57055,u
24.2364,22.57055,g
23.22002,22.57055,r
22.99368,22.57055,i
22.52387,22.57055,z
24.6366,20.27198,u
22.59097,20.27198,g
21.70515,20.27198,r
21.30882,20.27198,i
20.84637,20.27198,z
23.49047,21.44447,u
22.94162,21.44447,g
22.09525,21.44447,r
21.41336,21.44447,i
21.44655,21.44447,z
24.21677,23.22886,u
24.53302,23.22886,g
25.20799,23.22886,r
22.42473,23.22886,i
23.16861,23.22886,z
24.90373,22.37125,u
24.20387,22.37125,g
23.29228,22.37125,r
22.51001,22.37125,i
22.27648,22.37125,z
25.56334,23.02791,u
22.46608,23.02791,g
23.41963,23.02791,r
24.43382,23.02791,i
23.08139,23.02791,z
25.41898,19.88664,u
21.7608,19.88664,g
20.65991,19.88664,r
20.20959,19.88664,i
19.91936,19.88664,z
23.21078,20.58423,u
22.31605,20.58423,g
21.39472,20.58423,r
20.89567,20.58423,i
20.62976,20.58423,z
24.76012,20.03878,u
21.5064,20.03878,g
20.61679,20.03878,r
20.26675,20.03878,i
20.03819,20.03878,z
23.49248,19.96639,u
21.59539,19.96639,g
20.6075,19.96639,r
20.14519,19.96639,i
19.95571,19.96639,z
22.82464,17.74429,u
20.8371,17.74429,g
19.47481,17.74429,r
18.9674,17.74429,i
18.47548,17.74429,z
22.31401,20.34634,u
21.48876,20.34634,g
20.89783,20.34634,r
20.67209,20.34634,i
20.40058,20.34634,z
23.73833,17.35706,u
20.50634,17.35706,g
18.87847,17.35706,r
17.85362,17.35706,i
17.34934,17.35706,z
21.77857,23.40691,u
25.21008,23.40691,g
24.78335,23.40691,r
24.98153,23.40691,i
23.34679,23.40691,z
25.23636,21.37869,u
23.69741,21.37869,g
22.41222,21.37869,r
21.76465,21.37869,i
21.28874,21.37869,z
17.79371,16.14276,u
16.64278,16.14276,g
16.27505,16.14276,r
16.168,16.14276,i
16.14839,16.14276,z
23.34694,17.40088,u
20.00362,17.40088,g
18.47734,17.40088,r
17.81385,17.40088,i
17.38007,17.40088,z
24.67192,22.39889,u
23.3593,22.39889,g
22.83424,22.39889,r
23.21002,22.39889,i
22.65837,22.39889,z
26.1316,19.75219,u
23.01803,19.75219,g
21.7612,19.75219,r
20.80727,19.75219,i
20.03232,19.75219,z
22.79988,21.66693,u
22.49404,21.66693,g
22.07874,21.66693,r
22.00208,21.66693,i
21.69712,21.66693,z
24.9589,20.84161,u
23.0726,20.84161,g
21.89119,20.84161,r
21.3298,20.84161,i
20.86631,20.84161,z
23.96893,19.77343,u
21.77441,19.77343,g
20.52429,19.77343,r
20.03206,19.77343,i
19.77596,19.77343,z
23.21437,21.09613,u
24.41408,21.09613,g
22.41679,21.09613,r
22.36145,21.09613,i
21.55992,21.09613,z
24.34177,20.39402,u
23.32479,20.39402,g
21.99534,20.39402,r
20.78458,20.39402,i
20.35789,20.39402,z
25.15546,20.79642,u
23.92107,20.79642,g
22.20828,20.79642,r
21.57917,20.79642,i
20.8224,20.79642,z
22.30759,21.94636,u
25.08885,21.94636,g
25.20799,21.94636,r
23.45606,21.94636,i
22.7567,21.94636,z
23.59216,21.53078,u
24.30064,21.53078,g
23.07812,21.53078,r
22.14181,21.53078,i
21.70728,21.53078,z
24.7399,22.06756,u
24.58479,22.06756,g
22.91499,22.06756,r
23.63008,22.06756,i
22.21864,22.06756,z
23.58245,21.43459,u
23.24133,21.43459,g
22.44793,21.43459,r
22.29273,21.43459,i
21.7183,21.43459,z
23.8013,22.88037,u
25.11008,22.88037,g
24.24255,22.88037,r
22.70123,22.88037,i
22.85239,22.88037,z
24.80084,20.87314,u
25.48211,20.87314,g
25.02135,20.87314,r
24.42476,20.87314,i
20.83872,20.87314,z
23.23131,18.19682,u
21.54967,18.19682,g
20.58445,18.19682,r
20.02477,18.19682,i
19.66639,18.19682,z
24.72962,22.82691,u
24.98942,22.82691,g
22.17862,22.82691,r
22.08842,22.82691,i
22.82685,22.82691,z
20.54105,18.45119,u
19.3501,18.45119,g
18.90781,18.45119,r
18.71399,18.45119,i
18.53207,18.45119,z
24.57843,22.4562,u
23.92667,22.4562,g
21.9508,22.4562,r
24.36172,22.4562,i
22.48005,22.4562,z
22.32876,19.18814,u
20.53024,19.18814,g
19.7375,19.18814,r
19.40686,19.18814,i
19.18671,19.18814,z
20.81281,19.09374,u
19.75167,19.09374,g
19.37374,19.09374,r
19.15161,19.09374,i
19.11015,19.09374,z
21.19628,19.05074,u
19.91164,19.05074,g
19.38225,19.05074,r
19.06724,19.05074,i
19.00649,19.05074,z
24.20493,19.38323,u
23.22142,19.38323,g
21.68452,19.38323,r
20.19709,19.38323,i
19.39265,19.38323,z
25.72305,23.44636,u
24.4133,23.44636,g
23.54211,23.44636,r
22.52831,23.44636,i
22.84813,23.44636,z
24.16558,23.09645,u
23.47018,23.09645,g
23.3342,23.09645,r
23.45972,23.09645,i
23.05887,23.09645,z
15.9153,13.63573,u
13.88559,13.63573,g
13.1008,13.63573,r
12.79614,13.63573,i
12.6336,13.63573,z
23.54371,20.33282,u
23.3424,20.33282,g
21.73072,20.33282,r
20.79726,20.33282,i
20.30517,20.33282,z
22.1138,18.79612,u
20.81645,18.79612,g
20.10276,18.79612,r
19.59003,18.79612,i
19.1983,18.79612,z
23.85009,21.08239,u
25.15973,21.08239,g
23.1566,21.08239,r
22.62025,21.08239,i
21.34161,21.08239,z
24.71205,21.7295,u
23.10898,21.7295,g
23.07194,21.7295,r
22.05846,21.7295,i
21.7098,21.7295,z
23.7439,21.25705,u
23.01113,21.25705,g
22.41115,21.25705,r
21.7314,21.25705,i
21.92109,21.25705,z
22.78872,18.37964,u
21.44637,18.37964,g
20.72372,18.37964,r
20.13351,18.37964,i
19.67557,18.37964,z
23.65596,18.65858,u
23.1333,18.65858,g
22.19848,18.65858,r
21.69883,18.65858,i
21.42182,18.65858,z
20.58845,17.11786,u
18.68765,17.11786,g
17.76906,17.11786,r
17.34488,17.11786,i
17.10418,17.11786,z
24.8657,20.11717,u
23.82431,20.11717,g
22.41819,20.11717,r
20.96601,20.11717,i
20.23481,20.11717,z
17.63361,14.66511,u
15.78646,14.66511,g
15.04562,14.66511,r
14.7819,14.66511,i
14.68055,14.66511,z
22.95815,20.49744,u
22.3099,20.49744,g
21.65798,20.49744,r
21.4062,20.49744,i
20.83892,20.49744,z
24.40529,20.65927,u
22.08265,20.65927,g
21.35571,20.65927,r
21.03802,20.65927,i
20.66812,20.65927,z
23.724,21.24851,u
23.19364,21.24851,g
22.16296,21.24851,r
22.61459,21.24851,i
21.49837,21.24851,z
19.16607,16.55567,u
17.54988,16.55567,g
16.89067,16.55567,r
16.689,16.55567,i
16.54669,16.55567,z
24.60082,20.61018,u
24.57485,20.61018,g
22.8076,20.61018,r
21.41986,20.61018,i
20.72792,20.61018,z
24.54923,22.10399,u
25.53992,22.10399,g
24.13987,22.10399,r
22.32851,22.10399,i
22.04669,22.10399,z
23.42917,18.65368,u
20.47683,18.65368,g
19.41293,18.65368,r
18.92953,18.65368,i
18.66926,18.65368,z
24.34897,20.06052,u
23.82087,20.06052,g
22.64182,20.06052,r
21.12763,20.06052,i
20.06606,20.06052,z
22.23457,16.93615,u
19.4957,16.93615,g
17.97546,16.93615,r
17.33125,16.93615,i
16.91896,16.93615,z
23.70395,19.89062,u
21.56252,19.89062,g
20.46868,19.89062,r
20.11235,19.89062,i
19.88083,19.89062,z
21.84833,17.20911,u
20.16281,17.20911,g
18.61554,17.20911,r
17.70773,17.20911,i
17.20546,17.20911,z
23.45558,21.4168,u
24.33191,21.4168,g
23.38339,21.4168,r
22.59447,21.4168,i
22.01504,21.4168,z
24.63529,22.82689,u
25.11394,22.82689,g
24.80165,22.82689,r
19.83207,22.82689,i
22.82685,22.82689,z
24.68558,20.33129,u
23.87185,20.33129,g
22.97603,20.33129,r
21.94872,20.33129,i
21.06869,20.33129,z
24.79839,22.70332,u
23.20541,22.70332,g
23.09971,22.70332,r
22.34733,22.70332,i
22.8413,22.70332,z
24.33477,21.89881,u
24.02271,21.89881,g
21.50754,21.89881,r
20.77324,21.89881,i
22.19854,21.89881,z
25.15454,21.03599,u
24.65191,21.03599,g
22.12618,21.03599,r
21.81874,21.03599,i
20.96406,21.03599,z
23.22902,21.82946,u
23.77137,21.82946,g
22.76949,21.82946,r
22.70918,21.82946,i
22.07711,21.82946,z
25.37207,20.83318,u
23.18419,20.83318,g
21.92134,20.83318,r
21.21263,20.83318,i
21.03887,20.83318,z
24.67818,21.01909,u
22.85015,21.01909,g
21.59773,21.01909,r
21.0125,21.01909,i
20.97848,21.01909,z
25.48185,22.92101,u
25.41771,22.92101,g
22.86181,22.92101,r
24.82203,22.92101,i
22.93333,22.92101,z
23.40621,20.32121,u
22.93304,20.32121,g
22.88921,20.32121,r
21.18313,20.32121,i
20.33847,20.32121,z
22.23507,18.72342,u
21.5752,18.72342,g
20.62337,18.72342,r
20.39791,18.72342,i
20.13492,18.72342,z
23.05982,21.76965,u
22.64706,21.76965,g
22.12105,21.76965,r
21.91773,21.76965,i
21.94534,21.76965,z
22.90339,19.59532,u
21.62279,19.59532,g
21.23988,19.59532,r
21.07774,19.59532,i
20.76373,19.59532,z
21.90452,19.7984,u
21.0445,19.7984,g
20.59256,19.7984,r
20.00837,19.7984,i
19.72792,19.7984,z
23.72182,18.75209,u
21.51616,18.75209,g
20.12616,18.75209,r
19.60851,18.75209,i
19.32713,18.75209,z
23.84828,23.20254,u
23.87261,23.20254,g
24.54447,23.20254,r
22.62211,23.20254,i
22.37801,23.20254,z
25.24244,19.20305,u
22.54683,19.20305,g
21.17238,19.20305,r
19.82766,19.20305,i
19.20231,19.20305,z
25.4947,20.7957,u
23.45682,20.7957,g
22.3195,20.7957,r
21.3208,20.7957,i
20.8113,20.7957,z
23.10615,21.61035,u
22.43978,21.61035,g
22.10428,21.61035,r
21.75473,21.61035,i
21.69185,21.61035,z
22.79555,21.11078,u
23.15529,21.11078,g
23.14562,21.11078,r
22.11744,21.11078,i
22.08864,21.11078,z
24.66238,20.79256,u
22.56072,20.79256,g
21.37086,20.79256,r
20.79797,20.79256,i
20.7914,20.79256,z
22.74462,21.09998,u
23.62087,21.09998,g
23.12547,21.09998,r
22.08366,21.09998,i
21.44365,21.09998,z
23.11277,19.09916,u
23.18834,19.09916,g
21.38821,19.09916,r
19.96581,19.09916,i
19.04686,19.09916,z
24.22768,20.60934,u
24.56557,20.60934,g
23.09637,20.60934,r
22.05193,20.60934,i
21.42652,20.60934,z
23.50837,21.06603,u
23.03563,21.06603,g
22.14616,21.06603,r
21.79638,21.06603,i
21.29291,21.06603,z
23.80944,19.52692,u
22.39975,19.52692,g
20.76632,19.52692,r
20.1365,19.52692,i
19.51245,19.52692,z
22.78705,18.4817,u
21.65375,18.4817,g
20.43644,18.4817,r
19.98872,18.4817,i
19.71573,18.4817,z
22.74907,20.70958,u
22.21652,20.70958,g
21.75823,20.70958,r
21.58277,20.70958,i
21.62588,20.70958,z
24.54136,22.03348,u
23.95677,22.03348,g
23.15385,22.03348,r
22.1624,22.03348,i
22.24039,22.03348,z
23.12623,21.90237,u
22.37021,21.90237,g
22.77222,21.90237,r
22.74039,21.90237,i
21.96192,21.90237,z
25.53907,23.4935,u
24.50818,23.4935,g
23.55495,23.4935,r
22.38032,23.4935,i
23.39528,23.4935,z
23.35826,22.44536,u
23.45748,22.44536,g
22.33739,22.44536,r
21.50029,22.44536,i
22.38542,22.44536,z
24.22051,19.94532,u
24.57542,19.94532,g
23.3177,19.94532,r
21.68762,19.94532,i
